"","Selection","View","Channel","Begin.Time..s.","End.Time..s.","Low.Freq..Hz.","High.Freq..Hz.","Agg.Entropy..bits.","Avg.Entropy..bits.","BW.90...Hz.","Center.Freq..Hz.","Delta.Time..s.","Freq.5...Hz.","Freq.95...Hz.","Max.Freq..Hz.","Begin.File","Begin.Path","Signal.Type","song.analyzed","num.notes","num.unique.notes","buzzy.or.clear","Song.ID.1","Source"
"63",3,"Selection Spectrum 1",1,50.065264,51.51663028,2621.3,8630.2,4.372,4.372,1808.8,5684.8,1.451,4306.6,6115.4,5857,"47704_44k.wav","/Users/irwinlab/Documents/TOWA song analysis ORE/Macauley Library/47704_44k.wav","song","4",11,4,"buzzy","47704","Macauley Library"
"64",1,"Waveform 1",1,176.2823748,178.0200141,3539.9,8487.4,NA,NA,NA,NA,1.738,NA,NA,NA,"47707_44k.wav","/Users/irwinlab/Documents/TOWA song analysis ORE/Macauley Library/47707_44k.wav","song","11",10,6,"clear","47707","Macauley Library"
"65",1,"Spectrogram 1",1,176.2823748,178.0200141,3539.9,8487.4,4.368,2.299,2239.5,5598.6,1.738,4392.8,6632.2,4823.4,"47707_44k.wav","/Users/irwinlab/Documents/TOWA song analysis ORE/Macauley Library/47707_44k.wav","song","11",10,6,"clear","47707","Macauley Library"
"66",1,"Selection Spectrum 1",1,176.2823748,178.0200141,3539.9,8487.4,4.38,4.38,2239.5,5598.6,1.738,4392.8,6632.2,5598.6,"47707_44k.wav","/Users/irwinlab/Documents/TOWA song analysis ORE/Macauley Library/47707_44k.wav","song","11",10,6,"clear","47707","Macauley Library"
"67",2,"Waveform 1",1,145.2360942,146.956217,3642.9,7920.5,NA,NA,NA,NA,1.72,NA,NA,NA,"47707_44k.wav","/Users/irwinlab/Documents/TOWA song analysis ORE/Macauley Library/47707_44k.wav","song","10",10,6,"clear","47707","Macauley Library"
"68",2,"Spectrogram 1",1,145.2360942,146.956217,3642.9,7920.5,4.587,2.279,2239.5,5598.6,1.72,4392.8,6632.2,5684.8,"47707_44k.wav","/Users/irwinlab/Documents/TOWA song analysis ORE/Macauley Library/47707_44k.wav","song","10",10,6,"clear","47707","Macauley Library"
"69",2,"Selection Spectrum 1",1,145.2360942,146.956217,3642.9,7920.5,4.581,4.581,2239.5,5598.6,1.72,4392.8,6632.2,5598.6,"47707_44k.wav","/Users/irwinlab/Documents/TOWA song analysis ORE/Macauley Library/47707_44k.wav","song","10",10,6,"clear","47707","Macauley Library"
"70",3,"Waveform 1",1,185.3710934,187.1753534,3385.3,8435.8,NA,NA,NA,NA,1.804,NA,NA,NA,"47707_44k.wav","/Users/irwinlab/Documents/TOWA song analysis ORE/Macauley Library/47707_44k.wav","song","13",10,6,"clear","47707","Macauley Library"
"71",3,"Spectrogram 1",1,185.3710934,187.1753534,3385.3,8435.8,4.481,2.358,2153.3,5598.6,1.804,4392.8,6546.1,5598.6,"47707_44k.wav","/Users/irwinlab/Documents/TOWA song analysis ORE/Macauley Library/47707_44k.wav","song","13",10,6,"clear","47707","Macauley Library"
"72",3,"Selection Spectrum 1",1,185.3710934,187.1753534,3385.3,8435.8,4.483,4.483,2153.3,5598.6,1.804,4392.8,6546.1,5598.6,"47707_44k.wav","/Users/irwinlab/Documents/TOWA song analysis ORE/Macauley Library/47707_44k.wav","song","13",10,6,"clear","47707","Macauley Library"
"73",1,"Waveform 1",1,46.45474325,47.79103739,3689.5,9750.7,NA,NA,NA,NA,1.336,NA,NA,NA,"50312_44k.wav","/Users/irwinlab/Documents/TOWA song analysis ORE/Macauley Library/50312_44k.wav","song","3",6,3,"clear","50312","Macauley Library"
"74",1,"Spectrogram 1",1,46.45474325,47.79103739,3689.5,9750.7,3.596,1.967,1636.5,5943.2,1.336,5426.4,7062.9,5943.2,"50312_44k.wav","/Users/irwinlab/Documents/TOWA song analysis ORE/Macauley Library/50312_44k.wav","song","3",6,3,"clear","50312","Macauley Library"
"75",1,"Selection Spectrum 1",1,46.45474325,47.79103739,3689.5,9750.7,3.581,3.581,1550.4,5943.2,1.336,5426.4,6976.8,5943.2,"50312_44k.wav","/Users/irwinlab/Documents/TOWA song analysis ORE/Macauley Library/50312_44k.wav","song","3",6,3,"clear","50312","Macauley Library"
"76",2,"Waveform 1",1,122.3465269,123.6789862,4353.7,8256.2,NA,NA,NA,NA,1.332,NA,NA,NA,"50312_44k.wav","/Users/irwinlab/Documents/TOWA song analysis ORE/Macauley Library/50312_44k.wav","song","6",6,3,"clear","50312","Macauley Library"
"77",2,"Spectrogram 1",1,122.3465269,123.6789862,4353.7,8256.2,3.372,2.19,1205.9,6029.3,1.332,5770.9,6976.8,5943.2,"50312_44k.wav","/Users/irwinlab/Documents/TOWA song analysis ORE/Macauley Library/50312_44k.wav","song","6",6,3,"clear","50312","Macauley Library"
"78",2,"Selection Spectrum 1",1,122.3465269,123.6789862,4353.7,8256.2,3.375,3.375,1205.9,6029.3,1.332,5770.9,6976.8,5943.2,"50312_44k.wav","/Users/irwinlab/Documents/TOWA song analysis ORE/Macauley Library/50312_44k.wav","song","6",6,3,"clear","50312","Macauley Library"
"79",4,"Waveform 1",1,102.186243,103.5783202,3985.5,8386.1,NA,NA,NA,NA,1.392,NA,NA,NA,"50312_44k.wav","/Users/irwinlab/Documents/TOWA song analysis ORE/Macauley Library/50312_44k.wav","song","5",6,3,"clear","50312","Macauley Library"
"80",4,"Spectrogram 1",1,102.186243,103.5783202,3985.5,8386.1,3.902,1.956,1636.5,5943.2,1.392,5426.4,7062.9,6976.8,"50312_44k.wav","/Users/irwinlab/Documents/TOWA song analysis ORE/Macauley Library/50312_44k.wav","song","5",6,3,"clear","50312","Macauley Library"
"81",4,"Selection Spectrum 1",1,102.186243,103.5783202,3985.5,8386.1,3.901,3.901,1636.5,5943.2,1.392,5426.4,7062.9,5857,"50312_44k.wav","/Users/irwinlab/Documents/TOWA song analysis ORE/Macauley Library/50312_44k.wav","song","5",6,3,"clear","50312","Macauley Library"
"82",1,"Waveform 1",1,19.31143355,20.67165255,3515.9,8473,NA,NA,NA,NA,1.36,NA,NA,NA,"50314_44k.wav","/Users/irwinlab/Documents/TOWA song analysis ORE/Macauley Library/50314_44k.wav","song","2",6,3,"clear","50314","Macauley Library"
"83",1,"Spectrogram 1",1,19.31143355,20.67165255,3515.9,8473,3.884,2.01,2411.7,5254.1,1.36,4478.9,6890.6,5254.1,"50314_44k.wav","/Users/irwinlab/Documents/TOWA song analysis ORE/Macauley Library/50314_44k.wav","song","2",6,3,"clear","50314","Macauley Library"
"84",1,"Selection Spectrum 1",1,19.31143355,20.67165255,3515.9,8473,3.888,3.888,2411.7,5254.1,1.36,4478.9,6890.6,5254.1,"50314_44k.wav","/Users/irwinlab/Documents/TOWA song analysis ORE/Macauley Library/50314_44k.wav","song","2",6,3,"clear","50314","Macauley Library"
"85",2,"Waveform 1",1,28.30064366,29.65236129,3754.5,8574.2,NA,NA,NA,NA,1.352,NA,NA,NA,"50314_44k.wav","/Users/irwinlab/Documents/TOWA song analysis ORE/Macauley Library/50314_44k.wav","song","3",6,3,"clear","50314","Macauley Library"
"86",2,"Spectrogram 1",1,28.30064366,29.65236129,3754.5,8574.2,3.931,2.012,2153.3,5340.2,1.352,4823.4,6976.8,5254.1,"50314_44k.wav","/Users/irwinlab/Documents/TOWA song analysis ORE/Macauley Library/50314_44k.wav","song","3",6,3,"clear","50314","Macauley Library"
"87",2,"Selection Spectrum 1",1,28.30064366,29.65236129,3754.5,8574.2,3.931,3.931,2153.3,5340.2,1.352,4823.4,6976.8,5340.2,"50314_44k.wav","/Users/irwinlab/Documents/TOWA song analysis ORE/Macauley Library/50314_44k.wav","song","3",6,3,"clear","50314","Macauley Library"
