"","sound.files","selec","start","end"
"1698","SRF23M03_1.WAV.wav",1,158.7634055,160.3377357
"1701","SRF23M03_1.WAV.wav",3,178.0558334,179.3378031
"1704","SRF23M03_1.WAV.wav",4,73.1624177,74.60725406
"1716","SRF23M07_2.WAV.wav",1,128.1072323,129.621699
"1719","SRF23M07_2.WAV.wav",2,116.335973,117.8785158
"1722","SRF23M07_1.WAV.wav",1,1.683825051,3.082288674
"1725","SRF24M01_2.WAV.wav",1,23.68453595,25.33459604
"1728","SRF24M01_2.WAV.wav",3,56.53790596,58.16177462
"1731","SRF24M01_2.WAV.wav",4,187.0176165,188.7125761
"1734","SRF24M02_1.WAV.wav",1,55.44660292,57.10022308
"1737","SRF24M02_1.WAV.wav",2,214.8281658,216.4324855
"1740","SRF24M02_1.WAV.wav",3,1.486180979,3.053525304
"1743","SRF24M03_1.WAV.wav",1,21.70337217,23.01435867
"1746","SRF24M03_1.WAV.wav",2,1.538009029,3.115706404
"1749","SRF24M03_1.WAV.wav",3,107.3655241,108.9288601
"1779","SRF25M01_1.WAV.wav",1,44.57741946,45.65077341
