Selection,View,Channel,Begin Time (s),End Time (s),Low Freq (Hz),High Freq (Hz),Agg Entropy (bits),Avg Entropy (bits),BW 90% (Hz),Center Freq (Hz),Delta Time (s),Freq 5% (Hz),Freq 95% (Hz),Max Freq (Hz),Begin File,Begin Path,Signal Type,Song ID,num notes,num unique notes,buzzy or clear,Song ID,Source
1,Selection Spectrum 1,1,46.45474325,47.79103739,3689.5,9750.7,3.581,3.581,1550.4,5943.2,1.336,5426.4,6976.8,5943.2,50312_44k.wav,/Users/irwinlab/Documents/TOWA song analysis ORE/Macauley Library/50312_44k.wav,song,3,6,3,clear,50312,Macauley Library
2,Waveform 1,1,122.3465269,123.6789862,4353.7,8256.2,,,,,1.332,,,,50312_44k.wav,/Users/irwinlab/Documents/TOWA song analysis ORE/Macauley Library/50312_44k.wav,song,6,6,3,clear,50312,Macauley Library
2,Spectrogram 1,1,122.3465269,123.6789862,4353.7,8256.2,3.372,2.19,1205.9,6029.3,1.332,5770.9,6976.8,5943.2,50312_44k.wav,/Users/irwinlab/Documents/TOWA song analysis ORE/Macauley Library/50312_44k.wav,song,6,6,3,clear,50312,Macauley Library
2,Selection Spectrum 1,1,122.3465269,123.6789862,4353.7,8256.2,3.375,3.375,1205.9,6029.3,1.332,5770.9,6976.8,5943.2,50312_44k.wav,/Users/irwinlab/Documents/TOWA song analysis ORE/Macauley Library/50312_44k.wav,song,6,6,3,clear,50312,Macauley Library
4,Waveform 1,1,102.186243,103.5783202,3985.5,8386.1,,,,,1.392,,,,50312_44k.wav,/Users/irwinlab/Documents/TOWA song analysis ORE/Macauley Library/50312_44k.wav,song,5,6,3,clear,50312,Macauley Library
4,Spectrogram 1,1,102.186243,103.5783202,3985.5,8386.1,3.902,1.956,1636.5,5943.2,1.392,5426.4,7062.9,6976.8,50312_44k.wav,/Users/irwinlab/Documents/TOWA song analysis ORE/Macauley Library/50312_44k.wav,song,5,6,3,clear,50312,Macauley Library
4,Selection Spectrum 1,1,102.186243,103.5783202,3985.5,8386.1,3.901,3.901,1636.5,5943.2,1.392,5426.4,7062.9,5857,50312_44k.wav,/Users/irwinlab/Documents/TOWA song analysis ORE/Macauley Library/50312_44k.wav,song,5,6,3,clear,50312,Macauley Library
1,Waveform 1,1,19.31143355,20.67165255,3515.9,8473,,,,,1.36,,,,50314_44k.wav,/Users/irwinlab/Documents/TOWA song analysis ORE/Macauley Library/50314_44k.wav,song,2,6,3,clear,50314,Macauley Library
1,Spectrogram 1,1,19.31143355,20.67165255,3515.9,8473,3.884,2.01,2411.7,5254.1,1.36,4478.9,6890.6,5254.1,50314_44k.wav,/Users/irwinlab/Documents/TOWA song analysis ORE/Macauley Library/50314_44k.wav,song,2,6,3,clear,50314,Macauley Library
1,Selection Spectrum 1,1,19.31143355,20.67165255,3515.9,8473,3.888,3.888,2411.7,5254.1,1.36,4478.9,6890.6,5254.1,50314_44k.wav,/Users/irwinlab/Documents/TOWA song analysis ORE/Macauley Library/50314_44k.wav,song,2,6,3,clear,50314,Macauley Library
2,Waveform 1,1,28.30064366,29.65236129,3754.5,8574.2,,,,,1.352,,,,50314_44k.wav,/Users/irwinlab/Documents/TOWA song analysis ORE/Macauley Library/50314_44k.wav,song,3,6,3,clear,50314,Macauley Library
2,Spectrogram 1,1,28.30064366,29.65236129,3754.5,8574.2,3.931,2.012,2153.3,5340.2,1.352,4823.4,6976.8,5254.1,50314_44k.wav,/Users/irwinlab/Documents/TOWA song analysis ORE/Macauley Library/50314_44k.wav,song,3,6,3,clear,50314,Macauley Library
2,Selection Spectrum 1,1,28.30064366,29.65236129,3754.5,8574.2,3.931,3.931,2153.3,5340.2,1.352,4823.4,6976.8,5340.2,50314_44k.wav,/Users/irwinlab/Documents/TOWA song analysis ORE/Macauley Library/50314_44k.wav,song,3,6,3,clear,50314,Macauley Library
3,Waveform 1,1,66.73421701,68.14544423,3515.9,8335.6,,,,,1.411,,,,50314_44k.wav,/Users/irwinlab/Documents/TOWA song analysis ORE/Macauley Library/50314_44k.wav,song,6,6,3,clear,50314,Macauley Library
3,Spectrogram 1,1,66.73421701,68.14544423,3515.9,8335.6,4.102,2.088,2239.5,5426.4,1.411,4823.4,7062.9,6890.6,50314_44k.wav,/Users/irwinlab/Documents/TOWA song analysis ORE/Macauley Library/50314_44k.wav,song,6,6,3,clear,50314,Macauley Library
3,Selection Spectrum 1,1,66.73421701,68.14544423,3515.9,8335.6,4.101,4.101,2239.5,5426.4,1.411,4823.4,7062.9,5254.1,50314_44k.wav,/Users/irwinlab/Documents/TOWA song analysis ORE/Macauley Library/50314_44k.wav,song,6,6,3,clear,50314,Macauley Library
1,Waveform 1,1,141.10451,142.8108798,3666.5,8944.2,,,,,1.706,,,,50325_44k.wav,/Users/irwinlab/Documents/TOWA song analysis ORE/Macauley Library/50325_44k.wav,song,15,11,5,buzzy,50325,Macauley Library
1,Spectrogram 1,1,141.10451,142.8108798,3666.5,8944.2,4.129,2.72,1722.7,5081.8,1.706,3962.1,5684.8,5081.8,50325_44k.wav,/Users/irwinlab/Documents/TOWA song analysis ORE/Macauley Library/50325_44k.wav,song,15,11,5,buzzy,50325,Macauley Library
1,Selection Spectrum 1,1,141.10451,142.8108798,3666.5,8944.2,4.157,4.157,1722.7,5081.8,1.706,3962.1,5684.8,5512.5,50325_44k.wav,/Users/irwinlab/Documents/TOWA song analysis ORE/Macauley Library/50325_44k.wav,song,15,11,5,buzzy,50325,Macauley Library
2,Waveform 1,1,33.33475322,35.10366732,3198.8,8877.4,,,,,1.769,,,,50325_44k.wav,/Users/irwinlab/Documents/TOWA song analysis ORE/Macauley Library/50325_44k.wav,song,4,11,5,buzzy,50325,Macauley Library
2,Spectrogram 1,1,33.33475322,35.10366732,3198.8,8877.4,4.169,2.873,1722.7,5081.8,1.769,3876,5598.6,5512.5,50325_44k.wav,/Users/irwinlab/Documents/TOWA song analysis ORE/Macauley Library/50325_44k.wav,song,4,11,5,buzzy,50325,Macauley Library
2,Selection Spectrum 1,1,33.33475322,35.10366732,3198.8,8877.4,4.163,4.163,1722.7,5168,1.769,3876,5598.6,5512.5,50325_44k.wav,/Users/irwinlab/Documents/TOWA song analysis ORE/Macauley Library/50325_44k.wav,song,4,11,5,buzzy,50325,Macauley Library
